Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
5755401152,"Aug 7, 2021, 8:45:22 PM",Corrida vespertina,Run,"",1266,3.13,,,false,,activities/5755401152.gpx,,,1266.0,1254.0,3133.699951171875,11.199999809265137,2.4989633560180664,82.30948638916016,81.0094985961914,49.900001525878906,110.0,17.799999237060547,0.04148450866341591,,,,,,,,,326.6509704589844,,,,,,,,,8.0,,,,,0.0,53.0,0.0,,1.0,3408.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,2.475276470184326,2.0999999046325684,,,
5792949438,"Aug 14, 2021, 6:27:12 PM",Corrida vespertina,Run,"",1334,3.58,,,false,,activities/5792949438.gpx,,,1334.0,1324.0,3586.0,4.099999904632568,2.7084591388702393,51.30631637573242,82.8062973022461,49.79999923706055,109.0,16.600000381469727,-0.8784160614013672,,,,,,,,,353.2457580566406,,,,,,,,,7.0,,,,,0.0,42.0,0.0,,1.0,3685.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6881558895111084,8.5,,,
5820447942,"Aug 19, 2021, 8:39:54 PM",Pedalada vespertina,Ride,,2476,9.95,,,false,,activities/5820447942.gpx,,,2476.0,2004.0,9954.5,15.0,4.967315196990967,131.40773010253906,149.60800170898438,41.900001525878906,108.4000015258789,17.899999618530273,-0.18283188343048096,,,,,,,,106.55873107910156,238.10182189941406,,,,,,,,,7.0,,,,,0.0,64.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.020395755767822,420.0,,,
5868713972,"Aug 28, 2021, 8:07:56 PM",Pedalada vespertina,Ride,,3615,11.32,,,false,,activities/5868713972.gpx,,,3615.0,2512.0,11328.0,13.100000381469727,4.509553909301758,109.41712188720703,65.91699981689453,14.300000190734863,109.0,17.600000381469727,0.38400423526763916,,,,,,,,89.27508544921875,250.04884338378906,,,,,,,,,4.0,,,,,0.0,27.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1336100101470947,530.2000122070312,,,
5911883537,"Sep 5, 2021, 5:21:05 PM",Pedalada vespertina,Ride,,2879,13.23,,,false,,activities/5911883537.gpx,,,2879.0,2620.0,13231.400390625,15.199999809265137,5.050152778625488,91.77718353271484,110.57720184326172,13.600000381469727,108.80000305175781,17.5,-0.14208625257015228,,,,,,,,66.21394348144531,193.4306640625,,,,,,,,,7.0,,,,,0.0,83.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.595831871032715,1892.9000244140625,,,
5933904323,"Sep 9, 2021, 6:36:48 PM",Pedalada vespertina,Ride,,4439,13.58,,,false,,activities/5933904323.gpx,,,4439.0,3400.0,13587.7998046875,12.399999618530273,3.9964118003845215,121.3087387084961,121.90899658203125,13.5,109.0,18.399999618530273,-0.004415725823491812,,,,,,,,76.03517150878906,288.24945068359375,,,,,,,,,4.0,,,,,0.0,37.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.061004638671875,3305.199951171875,,,
5944707236,"Sep 11, 2021, 7:52:51 PM",Afternoon Ride,Ride,,4535,18.58,,,false,,activities/5944707236.gpx,,,4535.0,3786.0,18579.80078125,13.699999809265137,4.907501220703125,193.41465759277344,202.81500244140625,13.600000381469727,109.0,18.799999237060547,-0.0505925789475441,,,,,,,,100.72797393798828,425.212158203125,,,,,,,,,7.0,,,,,0.0,120.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.096979141235352,2073.199951171875,,,
5992342879,"Sep 20, 2021, 7:13:00 PM",Corrida vespertina,Run,,1652,4.34,,,false,,activities/5992342879.gpx,,,1652.0,1598.0,4339.60009765625,6.0,2.715644598007202,93.16694641113281,93.56690216064453,48.29999923706055,109.0,16.5,-0.009217439219355583,,,,,,,,,439.7770080566406,,,,,,,,,7.0,,,,,0.0,51.0,0.0,,1.0,4588.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6268765926361084,76.0999984741211,,,
6024685693,"Sep 26, 2021, 7:11:27 PM",Corrida vespertina,Run,,1969,5.81,,,false,,activities/6024685693.gpx,,,1969.0,1798.0,5811.39990234375,11.800000190734863,3.232146739959717,87.49095153808594,91.79100036621094,54.79999923706055,110.19999694824219,15.100000381469727,-0.07399249821901321,,,,,,,,,581.5692749023438,,,,,,,,,8.0,,,,,0.0,77.0,0.0,,1.0,5991.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9514474868774414,718.2000122070312,,,
6082203260,"Oct 8, 2021, 12:34:25 PM",Pedalada matinal,Ride,,6582,16.16,,,false,,activities/6082203260.gpx,,,6582.0,4652.0,16166.2001953125,14.800000190734863,3.475107431411743,153.5844268798828,224.88400268554688,13.5,109.0,41.20000076293945,-0.4410436451435089,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.456122875213623,2835.800048828125,,,
